"1:nrow(y_train)","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity"
1,-120.44,34.93,15,868,244,1133,253,2.0995,"<1H OCEAN"
2,-118.34,34.04,42,2010,494,1203,427,1.9408,"<1H OCEAN"
3,-117.72,34,15,4363,690,2410,666,5.4824,"INLAND"
4,-117.7,33.48,10,3458,638,1156,470,6.3579,"<1H OCEAN"
5,-118.33,33.92,23,969,288,670,251,3.267,"<1H OCEAN"
6,-118.54,34.15,26,10111,1295,3599,1257,10.2292,"<1H OCEAN"
7,-117.32,34.14,32,1691,353,1457,329,1.8438,"INLAND"
8,-118.01,33.77,32,1771,296,995,272,5.8362,"<1H OCEAN"
9,-116.98,33.83,15,2228,472,653,350,2.683,"INLAND"
10,-121.85,37.28,17,4208,954,1476,904,2.3971,"<1H OCEAN"
11,-117.12,32.7,36,1011,253,763,226,1.8187,"NEAR OCEAN"
12,-122.03,37.37,30,1269,290,556,266,3.8125,"<1H OCEAN"
13,-116.44,34.16,19,1867,361,758,321,2.8929,"INLAND"
14,-122.29,38.19,13,7065,1259,3864,1221,4.7472,"NEAR BAY"
15,-118.19,33.77,35,1574,603,820,514,1.2321,"NEAR OCEAN"
16,-121.92,37.34,52,2584,491,1087,433,4.4,"<1H OCEAN"
17,-122.01,37.55,26,2068,532,1434,495,3.3008,"NEAR BAY"
18,-118.04,34.06,39,1258,245,988,228,3.2132,"<1H OCEAN"
19,-117.12,33.61,2,2569,431,1232,388,4.3651,"<1H OCEAN"
20,-117.81,33.81,19,3154,390,1404,384,8.9257,"<1H OCEAN"
21,-122.73,38.4,30,3689,746,2250,697,2.975,"<1H OCEAN"
22,-117.98,33.94,32,2562,491,1222,446,4.0985,"<1H OCEAN"
23,-117.13,32.8,15,1606,375,784,342,3.7237,"NEAR OCEAN"
24,-120.77,37.01,28,1689,378,1057,267,3.125,"INLAND"
25,-122.03,36.97,51,924,232,488,228,2.1964,"NEAR OCEAN"
26,-118.49,34.31,25,1024,145,357,147,7.0598,"<1H OCEAN"
27,-120.87,38.71,13,2692,470,1302,420,4,"INLAND"
28,-122.04,38.27,16,8517,1910,4508,1837,3.1853,"INLAND"
29,-122.07,37.89,38,757,124,319,123,5.6558,"NEAR BAY"
30,-117.26,33.05,14,2323,373,1057,372,6.2513,"NEAR OCEAN"
31,-121.5,38.49,29,3606,690,2317,696,2.7368,"INLAND"
32,-122.47,37.72,49,1690,307,770,294,4.5913,"NEAR OCEAN"
33,-118.31,34.06,34,2470,1197,2326,1055,1.9038,"<1H OCEAN"
34,-118.01,34.07,24,5684,1485,6626,1481,2.2559,"INLAND"
35,-120.65,38.28,21,3095,681,1341,546,2.1382,"INLAND"
36,-117.81,33.68,4,1545,304,788,296,4.5469,"<1H OCEAN"
37,-122.75,38.54,6,6719,1016,2699,997,5.4886,"<1H OCEAN"
38,-122.29,38.3,52,935,224,315,207,1.8287,"NEAR BAY"
39,-122.36,37.57,35,1774,205,588,207,10.7339,"NEAR OCEAN"
40,-120.47,34.7,24,2387,385,1051,382,4.4595,"NEAR OCEAN"
41,-118.39,33.96,45,1361,252,581,263,5.8143,"<1H OCEAN"
42,-122.01,37.36,21,2483,396,1194,424,7.1273,"<1H OCEAN"
43,-114.6,34.83,46,1497,309,787,271,2.1908,"INLAND"
44,-122.42,37.61,37,1866,300,822,305,4.7,"NEAR OCEAN"
45,-117.67,34.07,29,1840,388,1278,368,3.5036,"INLAND"
46,-117.17,34.51,15,5151,942,2896,897,3.4875,"INLAND"
47,-118.2,33.87,42,1482,310,1052,317,3.9469,"<1H OCEAN"
48,-122.47,37.72,47,1176,286,564,258,3.2059,"NEAR OCEAN"
49,-122.54,37.9,48,2491,460,937,455,4.4375,"NEAR BAY"
50,-122.43,37.79,52,3219,969,1152,830,4.2042,"NEAR BAY"
51,-118.44,34.16,33,1616,322,580,311,4.0391,"<1H OCEAN"
52,-122.52,37.96,35,2012,346,818,352,5.2818,"NEAR BAY"
53,-122.07,37.35,35,1579,210,570,196,8.5888,"<1H OCEAN"
54,-120.98,37.65,36,826,167,432,150,2.5,"INLAND"
55,-118.85,34.17,42,564,96,220,81,4.5625,"<1H OCEAN"
56,-118.1,34.07,36,1240,349,1383,338,2.4931,"<1H OCEAN"
57,-117.89,33.92,8,2120,544,1281,470,3.4954,"<1H OCEAN"
58,-121.81,37.33,4,5532,778,3651,770,7.2982,"<1H OCEAN"
59,-118.36,33.82,36,1784,311,901,293,6.2247,"<1H OCEAN"
60,-116.83,34.25,15,8948,1985,1316,514,2.7375,"INLAND"
61,-118.31,33.93,35,1580,266,926,282,5.0653,"<1H OCEAN"
62,-118.06,34.09,40,1975,389,1116,378,4.2898,"<1H OCEAN"
63,-117.06,33.02,17,2635,389,994,359,5.8966,"<1H OCEAN"
64,-121.67,36.67,24,3071,544,1477,560,3.9219,"<1H OCEAN"
65,-122.09,37.6,36,385,94,295,92,2.9706,"NEAR BAY"
66,-117.09,32.75,24,1245,376,1230,362,1.875,"NEAR OCEAN"
67,-118.13,34.09,21,3862,1186,2773,1102,2.7816,"<1H OCEAN"
68,-118.55,34.37,21,7010,1063,3331,1038,6.776,"<1H OCEAN"
69,-117.95,33.74,25,1393,243,976,245,5.4485,"<1H OCEAN"
70,-120.61,35.1,14,2919,691,1896,577,2.4003,"<1H OCEAN"
71,-122.13,37.68,43,1676,340,924,328,3.6,"NEAR BAY"
72,-117.25,34.16,35,2707,481,1595,479,3.9018,"INLAND"
73,-117.02,32.74,30,4205,772,2012,734,3.5,"NEAR OCEAN"
74,-117.94,34.03,35,1499,289,1112,268,3.83,"<1H OCEAN"
75,-118.26,34.01,37,2451,668,2824,598,1.9074,"<1H OCEAN"
76,-118.33,34.02,11,1249,313,625,336,0.8702,"<1H OCEAN"
77,-119.73,36.81,19,1699,356,994,368,2.7778,"INLAND"
78,-122.54,37.95,38,2310,400,971,386,5.697,"NEAR BAY"
79,-117.99,34.12,35,1040,231,1040,242,2.5395,"INLAND"
80,-118.63,34.17,33,4769,787,2019,743,5.5798,"<1H OCEAN"
81,-122.29,37.94,20,7578,1426,3637,1362,4.4387,"NEAR BAY"
82,-122.27,37.85,52,1974,426,875,363,1.5817,"NEAR BAY"
83,-117.48,33.98,20,2451,475,1785,456,3.3966,"INLAND"
84,-118.12,34.16,30,1762,416,940,398,2.8631,"<1H OCEAN"
85,-122.4,37.79,52,1185,660,1007,623,1.4552,"NEAR BAY"
86,-122.34,37.57,28,3751,949,1691,846,3.9728,"NEAR OCEAN"
87,-117.01,32.79,31,3776,815,1886,799,3.4421,"<1H OCEAN"
88,-118.02,33.72,22,8844,1706,4404,1594,4.4453,"<1H OCEAN"
89,-122.51,37.78,45,2564,499,1056,460,4.7328,"NEAR BAY"
90,-118.09,34.07,45,726,146,568,160,3.0347,"<1H OCEAN"
91,-118.26,33.9,38,1566,318,981,318,4.0234,"<1H OCEAN"
92,-118.41,34.16,32,3060,505,1159,510,6.3703,"<1H OCEAN"
93,-122.28,37.84,50,2082,492,1131,473,1.6424,"NEAR BAY"
94,-120.45,39.8,47,2149,456,965,419,1.7829,"INLAND"
